Timestamp,Workflow ID,Company,Role,Platform,Location,ATS Score,Skill Match,Missing Skills,Recommendations,Status,Apply Link
2026-05-22T18:36:30.088115+00:00,a29d4267-5c1e-4049-b3fa-4134338cf18f,Bhanzu,SDE 1 - Backend,Indeed,"HSR Layout, Bengaluru, Karnataka",68,77,"AWS, Microservices, Git","Learn AWS basics and add it naturally to a backend project. | Build a small SDE 1 - Backend project that demonstrates Microservices. | Add measurable impact bullets for APIs, reliability, and deployments.",waiting_for_human_review,https://in.indeed.com/rc/clk?jk=c1ee10cd004fa915&bb=NKMff55i2ofxOwdYT6HRtkeEnIcR4RssZsi-yfDd-UAOcZslKZa1JGVBMly5--CEWeUpQaacuaaUsuPHc_cvjacKHToLEz8L4J6TXWXSgaM789elPleeFNUryCDp9Af4&xkcb=SoBG67M3joXP0pzNbJ0LbzkdCdPP&fccid=000d89e3bdeff371&cmp=Bhanzu&ti=Software+Engineer&vjs=3
2026-05-22T18:36:30.089017+00:00,a29d4267-5c1e-4049-b3fa-4134338cf18f,Tattva Techworkz Pvt Ltd,Backend Developer,Indeed,"Bengaluru, Karnataka",68,68,"Redis, Microservices, CI/CD, Git, Authentication","Learn Redis basics and add it naturally to a backend project. | Build a small Backend Developer project that demonstrates Microservices. | Add measurable impact bullets for APIs, reliability, and deployments.",waiting_for_human_review,https://in.indeed.com/rc/clk?jk=8a6fa3929ff6e21f&bb=NKMff55i2ofxOwdYT6HRtj7soTEoYY7qRmD_2-qHi3716yzv8JzyPYb9NJSRvWuGMXq-5uo2nlOE7HUHO05SyrcQxVk4s-UTlk72i14WRauWFRPm0MLH_WgAwWVTuD71&xkcb=SoBv67M3joXP0pzNbJ0JbzkdCdPP&fccid=3cb3bf23308671f5&cmp=Tattva-Techworkz-Pvt-Ltd&ti=Back+End+Developer&vjs=3
2026-05-22T18:36:30.090178+00:00,a29d4267-5c1e-4049-b3fa-4134338cf18f,Deloitte,Nodejs Developer,LinkedIn,Greater Bengaluru Area,68,100,"Docker, Kubernetes","Learn Docker basics and add it naturally to a backend project. | Build a small Nodejs Developer project that demonstrates Kubernetes. | Add measurable impact bullets for APIs, reliability, and deployments.",waiting_for_human_review,https://in.linkedin.com/jobs/view/nodejs-developer-at-deloitte-4406444803?position=2&pageNum=0&refId=Sy%2F3MWRub4ZeYLPVMVzYwg%3D%3D&trackingId=TQH6EcxCEhRmDrpZAtrjOQ%3D%3D
2026-05-22T18:36:30.091171+00:00,a29d4267-5c1e-4049-b3fa-4134338cf18f,Deloitte,Full Stack Developer,LinkedIn,"Bengaluru, Karnataka, India",68,100,"Docker, Kubernetes","Learn Docker basics and add it naturally to a backend project. | Build a small Full Stack Developer project that demonstrates Kubernetes. | Add measurable impact bullets for APIs, reliability, and deployments.",waiting_for_human_review,https://in.linkedin.com/jobs/view/full-stack-developer-at-deloitte-4349600916?position=1&pageNum=0&refId=Sy%2F3MWRub4ZeYLPVMVzYwg%3D%3D&trackingId=kQaCyl4UkiO9n1LizC8mNQ%3D%3D
2026-05-22T18:36:30.092013+00:00,a29d4267-5c1e-4049-b3fa-4134338cf18f,Deloitte,Full Stack Python Developer,LinkedIn,"Bengaluru, Karnataka, India",68,100,"Docker, Kubernetes","Learn Docker basics and add it naturally to a backend project. | Build a small Full Stack Python Developer project that demonstrates Kubernetes. | Add measurable impact bullets for APIs, reliability, and deployments.",waiting_for_human_review,https://in.linkedin.com/jobs/view/full-stack-python-developer-at-deloitte-4407749111?position=3&pageNum=0&refId=Sy%2F3MWRub4ZeYLPVMVzYwg%3D%3D&trackingId=%2FymLUQH4yC56XohWiu2WFw%3D%3D
2026-05-22T18:36:30.092614+00:00,a29d4267-5c1e-4049-b3fa-4134338cf18f,FPLE Technology Pvt Ltd,Junior Backend PHP Developer,Indeed,"Bengaluru, Karnataka",68,100,"Docker, Kubernetes","Learn Docker basics and add it naturally to a backend project. | Build a small Junior Backend PHP Developer project that demonstrates Kubernetes. | Add measurable impact bullets for APIs, reliability, and deployments.",waiting_for_human_review,https://in.indeed.com/rc/clk?jk=d7bbdf93ff3968a3&bb=NKMff55i2ofxOwdYT6HRtqRCO73FE0PNu5UzEppa6tfrQUzpXUvTWdCvgMKF81oBuiWmKzXTxcsGeuNxm78ys0gYRevVTm9-iOJCAFREbUFRM7nlVT_0D8w_G2x6DD9f&xkcb=SoDb67M3joXP0pzNbJ0IbzkdCdPP&fccid=ffecaa944a6623b9&cmp=FPLE-Technology-Pvt-Ltd&ti=Back+End+Developer&vjs=3
2026-05-22T18:36:30.093449+00:00,a29d4267-5c1e-4049-b3fa-4134338cf18f,Twinleaves Retail Ecommerce India,Java Backend Developer (SDE 1),Indeed,"Bengaluru, Karnataka",68,100,"Docker, Kubernetes","Learn Docker basics and add it naturally to a backend project. | Build a small Java Backend Developer (SDE 1) project that demonstrates Kubernetes. | Add measurable impact bullets for APIs, reliability, and deployments.",waiting_for_human_review,https://in.indeed.com/rc/clk?jk=9cf28150c763ad76&bb=NKMff55i2ofxOwdYT6HRtjqDgev_lz-HtvaHi-tln_qYYhlOugChVow5v1bKpeiBYNy_aoQ-wI9f1P4LDVxG3f3uAS1doU7H5ZK3SjCs4n1xjyLfepNWT_Y17FYgqnxs&xkcb=SoBV67M3joXP0pzNbJ0PbzkdCdPP&fccid=db82b946884f4d82&vjs=3
2026-05-22T18:36:30.094263+00:00,a29d4267-5c1e-4049-b3fa-4134338cf18f,Infosys,"Software Developer (Java,Python,Golang)",LinkedIn,"Bengaluru East, Karnataka, India",68,100,"Docker, Kubernetes","Learn Docker basics and add it naturally to a backend project. | Build a small Software Developer (Java,Python,Golang) project that demonstrates Kubernetes. | Add measurable impact bullets for APIs, reliability, and deployments.",waiting_for_human_review,https://in.linkedin.com/jobs/view/software-developer-java-python-golang-at-infosys-4391663862?position=4&pageNum=0&refId=Sy%2F3MWRub4ZeYLPVMVzYwg%3D%3D&trackingId=STFMefNF34WkuDJuMfbRpw%3D%3D
2026-05-22T18:36:30.094867+00:00,a29d4267-5c1e-4049-b3fa-4134338cf18f,ITKEDU,Backend Java Developer,Indeed,"Hybrid work in Bengaluru, Karnataka",68,100,"Docker, Kubernetes","Learn Docker basics and add it naturally to a backend project. | Build a small Backend Java Developer project that demonstrates Kubernetes. | Add measurable impact bullets for APIs, reliability, and deployments.",waiting_for_human_review,https://in.indeed.com/rc/clk?jk=ff082b46f79d1090&bb=NKMff55i2ofxOwdYT6HRtvcRAJWf0kFkFD3a0ofBjXLsQDWAXGeQuvYKTv9x-M8d8LGQpAAEtROtcNE7LyLX8OUYcpyQAKXraTjlp5CGu0AGIcB19kdtp11JRrKg-EKE&xkcb=SoDy67M3joXP0pzNbJ0KbzkdCdPP&fccid=e286db9156adcd52&cmp=ITKEDU&ti=Back+End+Developer&vjs=3
2026-05-22T18:36:30.096159+00:00,a29d4267-5c1e-4049-b3fa-4134338cf18f,Llama,Junior Full Stack Developer,LinkedIn,"Bengaluru, Karnataka, India",68,100,"Docker, Kubernetes","Learn Docker basics and add it naturally to a backend project. | Build a small Junior Full Stack Developer project that demonstrates Kubernetes. | Add measurable impact bullets for APIs, reliability, and deployments.",waiting_for_human_review,https://in.linkedin.com/jobs/view/junior-full-stack-developer-at-llama-4306117443?position=5&pageNum=0&refId=Sy%2F3MWRub4ZeYLPVMVzYwg%3D%3D&trackingId=WJ8xHNOWFeCiLnZqvItbSw%3D%3D
